Model,baseline,v2,v3,v4
486-v1,,,,
Broadwell-v1,✅,✅,✅,
Broadwell-v2,✅,✅,✅,
Broadwell-v3,✅,✅,✅,
Broadwell-v4,✅,✅,✅,
Cascadelake-Server-v1,✅,✅,✅,✅
Cascadelake-Server-v2,✅,✅,✅,✅
Cascadelake-Server-v3,✅,✅,✅,✅
Cascadelake-Server-v4,✅,✅,✅,✅
Cascadelake-Server-v5,✅,✅,✅,✅
Conroe-v1,✅,,,
Cooperlake-v1,✅,✅,✅,✅
Cooperlake-v2,✅,✅,✅,✅
Denverton-v1,✅,✅,,
Denverton-v2,✅,✅,,
Denverton-v3,✅,✅,,
Dhyana-v1,✅,✅,✅,
Dhyana-v2,✅,✅,✅,
EPYC-Genoa-v1,✅,✅,✅,✅
EPYC-Milan-v1,✅,✅,✅,
EPYC-Milan-v2,✅,✅,✅,
EPYC-Rome-v1,✅,✅,✅,
EPYC-Rome-v2,✅,✅,✅,
EPYC-Rome-v3,✅,✅,✅,
EPYC-Rome-v4,✅,✅,✅,
EPYC-v1,✅,✅,✅,
EPYC-v2,✅,✅,✅,
EPYC-v3,✅,✅,✅,
EPYC-v4,✅,✅,✅,
GraniteRapids-v1,✅,✅,✅,✅
Haswell-v1,✅,✅,✅,
Haswell-v2,✅,✅,✅,
Haswell-v3,✅,✅,✅,
Haswell-v4,✅,✅,✅,
Icelake-Server-v1,✅,✅,✅,✅
Icelake-Server-v2,✅,✅,✅,✅
Icelake-Server-v3,✅,✅,✅,✅
Icelake-Server-v4,✅,✅,✅,✅
Icelake-Server-v5,✅,✅,✅,✅
Icelake-Server-v6,✅,✅,✅,✅
IvyBridge-v1,✅,✅,,
IvyBridge-v2,✅,✅,,
KnightsMill-v1,✅,✅,✅,
Nehalem-v1,✅,✅,,
Nehalem-v2,✅,✅,,
Opteron_G1-v1,✅,,,
Opteron_G2-v1,✅,,,
Opteron_G3-v1,✅,,,
Opteron_G4-v1,✅,✅,,
Opteron_G5-v1,✅,✅,,
Penryn-v1,✅,,,
SandyBridge-v1,✅,✅,,
SandyBridge-v2,✅,✅,,
SapphireRapids-v1,✅,✅,✅,✅
SapphireRapids-v2,✅,✅,✅,✅
Skylake-Client-v1,✅,✅,✅,
Skylake-Client-v2,✅,✅,✅,
Skylake-Client-v3,✅,✅,✅,
Skylake-Client-v4,✅,✅,✅,
Skylake-Server-v1,✅,✅,✅,✅
Skylake-Server-v2,✅,✅,✅,✅
Skylake-Server-v3,✅,✅,✅,✅
Skylake-Server-v4,✅,✅,✅,✅
Skylake-Server-v5,✅,✅,✅,✅
Snowridge-v1,✅,✅,,
Snowridge-v2,✅,✅,,
Snowridge-v3,✅,✅,,
Snowridge-v4,✅,✅,,
Westmere-v1,✅,✅,,
Westmere-v2,✅,✅,,
athlon-v1,,,,
core2duo-v1,✅,,,
coreduo-v1,,,,
kvm32-v1,,,,
kvm64-v1,✅,,,
n270-v1,,,,
pentium-v1,,,,
pentium2-v1,,,,
pentium3-v1,,,,
phenom-v1,✅,,,
qemu32-v1,,,,
qemu64-v1,✅,,,
